FacilityName,lat,long,S,State,City,PrimaryRestriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,color_v2,,
Yuma Dakota Unit,32.553325,-114.510731,100,Arizona,San Luis,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Yuma La Paz Unit,39.734297,-105.014378,101,Arizona,San Luis,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Winslow Apache Unit,35.03586,-110.696972,102,Arizona,St. Johns,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
ASPC-Tucson Catalina Unit,32.22174,-110.92648,103,Arizona,Tucson,,,"Throw out letters from ""Preston Smith""",,,,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,"""orange""","""orange"""
ASPC-Tucson Cimarron Unit,32.19709,-110.828987,104,Arizona,Tucson,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
ASPC-Tucson Manzanita Unit,32.19709,-110.828987,105,Arizona,Tucson,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
ASPC-Tucson Rincon Minors Unit,-34.741547,-58.389538,106,Arizona,Tucson,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
ASPC-Tucson Rincon Transitory Unit,-34.741547,-58.389538,107,Arizona,Tucson,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
ASPC-Tucson Rincon Unit,-34.741547,-58.389538,108,Arizona,Tucson,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
ASPC-Tucson SACRC Unit,31.117323,29.852075,109,Arizona,Tucson,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
ASPC-Tucson Santa Rita Unit,31.117323,29.852075,110,Arizona,Tucson,,,"Throw out letters from ""Preston Smith""",,,,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,"""orange""","""orange"""
ASPC-Tucson Whetstone Unit,32.19709,-110.828987,111,Arizona,Tucson,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
